zipcode,dr_number,srnumber
0,943,0
90001,2418,15780
90002,636,34344
90003,2418,96386
90004,2139,73466
90005,2139,29706
90006,1325,70964
90007,2998,57588
90008,943,62238
90010,1568,754
90011,730,113150
90012,1218,14729
90013,647,1294
90014,1377,647
90015,2891,11533
90016,1757,93339
90017,1218,11496
90018,2511,108283
90019,1568,114662
90020,1568,27204
90021,1377,2920
90023,533,22386
90026,1874,98650
90027,1351,59359
90028,695,27800
90029,2676,59447
90031,1189,42763
90032,533,42640
90033,533,39975
90034,1600,44970
90035,814,13838
90036,814,48840
90037,2725,111635
90038,1509,35683
90039,656,45264
90041,656,56416
90042,1189,99015
90043,1995,100518
90044,1688,139960
90045,786,55020
90046,1509,35126
90047,1052,118876
90048,814,38258
90056,786,3144
90057,571,27408
90058,730,4380
90059,636,23532
90061,636,26076
90062,1995,73417
90063,533,14924
90064,786,11790
90065,656,61664
90066,786,80172
90068,695,33360
90069,1509,7426
90071,647,0
90077,789,0
90094,786,3930
90230,786,13362
90232,786,3144
90247,636,14628
90248,1193,6601
90291,786,56592
90292,786,8646
90293,786,14148
90501,557,15039
90710,557,16153
90717,557,1114
90731,557,65726
90732,557,26179
90744,557,69068
91040,510,23460
91042,510,38250
91214,510,510
91303,647,30409
91304,1354,52180
91306,1354,65960
91307,647,34291
91311,1354,48663
91316,758,36384
91324,1465,33229
91325,1465,46618
91326,707,48076
91331,1185,114510
91335,758,128102
91340,1185,12855
91342,1892,127320
91343,1382,75463
91344,707,72821
91345,675,26325
91352,1185,41130
91356,1405,43853
91364,647,26527
91367,647,45937
91401,789,65487
91402,675,66825
91403,1547,31405
91405,789,82056
91406,2222,101653
91411,789,26037
91423,789,44184
91436,758,16676
91504,510,2550
91505,510,510
91604,789,3156
91605,1185,16980
91606,789,2367
91607,789,3156
