month,dr_number,srnumber
2010-01,84,26038
2010-02,68,20205
2010-03,99,30781
2010-04,81,25219
2010-05,87,27868
2010-06,75,23057
2010-07,106,33282
2010-08,89,30462
2010-09,97,30717
2010-10,75,22772
2010-11,93,28482
2010-12,98,30309
2011-01,101,33076
2011-02,79,23027
2011-03,89,25067
2011-04,98,29347
2011-05,86,28109
2011-06,75,21126
2011-07,88,28689
2011-08,93,26954
2011-09,83,26741
2011-10,90,26367
2011-11,96,29460
2011-12,79,26134
2012-01,101,29862
2012-02,84,25756
2012-03,100,27304
2012-04,93,28770
2012-05,104,28992
2012-06,80,23649
2012-07,78,22813
2012-08,79,23172
2012-09,86,27452
2012-10,108,31573
2012-11,97,27119
2012-12,97,29723
2013-01,85,25064
2013-02,85,25632
2013-03,84,24402
2013-04,79,23050
2013-05,87,25878
2013-06,91,27497
2013-07,68,21225
2013-08,98,31510
2013-09,90,28257
2013-10,84,26176
2013-11,88,27331
2013-12,83,24629
2014-01,80,25940
2014-02,83,23318
2014-03,78,22372
2014-04,86,26424
2014-05,88,26715
2014-06,89,29156
2014-07,99,29338
2014-08,112,33230
2014-09,115,34642
2014-10,115,33602
2014-11,103,31132
2014-12,98,31698
2015-01,90,27145
2015-02,101,31054
2015-03,85,26438
2015-04,98,31380
2015-05,111,33820
2015-06,94,27160
2015-07,107,35634
2015-08,104,31868
2015-09,122,36663
2015-10,95,29903
2015-11,102,32947
2015-12,138,41385
2016-01,97,30166
2016-02,114,33975
2016-03,123,38695
2016-04,116,35909
2016-05,94,30449
2016-06,115,35239
2016-07,128,41651
2016-08,124,36099
2016-09,127,39321
2016-10,131,39783
2016-11,110,33639
2016-12,125,34021
2017-01,96,28826
2017-02,141,43226
2017-03,104,30723
2017-04,120,37051
2017-05,100,29165
2017-06,122,39684
2017-07,110,32698
2017-08,125,38546
2017-09,109,32817
2017-10,104,32514
2017-11,130,40177
2017-12,122,41330
2018-01,100,33220
2018-02,112,32802
2018-03,124,38541
2018-04,117,38479
2018-05,104,32954
2018-06,112,30962
2018-07,118,36364
2018-08,136,43633
2018-09,133,42310
2018-10,145,41931
2018-11,111,33118
2018-12,115,38859
2019-01,128,37568
2019-02,104,32627
2019-03,119,34049
2019-04,105,30838
2019-05,116,37686
2019-06,112,34099
2019-07,109,35516
2019-08,108,32925
2019-09,135,40131
2019-10,119,35002
2019-11,106,31421
2019-12,135,42248
2020-01,87,26493
2020-02,113,35416
2020-03,97,30584
2020-04,47,13638
2020-05,70,22293
2020-06,71,22181
2020-07,90,25106
2020-08,93,30489
2020-09,78,26611
2020-10,96,31059
2020-11,75,25838
2020-12,80,24022
2021-01,55,17129
2021-02,32,10409
2021-03,40,11541
2021-04,38,11333
2021-05,43,13676
2021-06,45,14496
2021-07,42,11870
2021-08,34,10981
2021-09,30,9137
2021-10,35,10744
2021-11,36,10860
2021-12,31,9553
2022-01,26,7841
2022-02,32,8330
2022-03,43,12872
2022-04,30,9177
2022-05,33,10494
2022-06,39,12530
2022-07,25,7186
2022-08,38,11852
2022-09,30,8608
2022-10,39,13187
2022-11,33,9253
2022-12,35,11015
2023-01,44,13145
2023-02,32,9776
2023-03,39,11564
2023-04,29,8167
2023-05,28,9134
2023-06,32,10166
2023-07,33,9278
2023-08,27,8081
2023-09,27,7658
2023-10,36,9835
2023-11,34,11636
2023-12,36,12166
2024-01,27,7488
2024-02,38,11669
2024-03,41,12034
2024-04,41,15442
2024-05,40,11665
2024-06,38,11479
2024-07,24,7042
2024-08,38,10352
2024-09,41,13255
2024-10,40,11934
2024-11,39,11633
2024-12,26,7137
2025-01,31,8346
2025-02,30,8740
2025-03,7,1758
