zipcode,victim_age,srnumber
0,40.366467065868264,0
90001,40.285705589936086,3156
90002,40.10408921933085,12084
90003,40.13978447098153,41688
90004,40.570408917492294,12452
90005,40.47025599776177,5278
90006,40.61759703108087,20768
90007,40.12273896335744,16285
90008,40.366467065868264,16974
90010,40.45987343592694,754
90011,39.838862559241704,35770
90012,42.283610451306416,5747
90013,42.35254237288136,1941
90014,42.23565709248513,1377
90015,41.71013960323292,9751
90016,40.257727815110215,12557
90017,41.23322949117342,3997
90018,40.34651758756685,25957
90019,40.12629291878328,15920
90020,40.492690902096555,5278
90021,39.94973311603845,11597
90023,42.62637362637363,9061
90026,41.94382293931659,11845
90027,41.560887530233806,10769
90028,38.56699346405229,7645
90029,40.84039264510337,9447
90031,42.723675755072065,7708
90032,42.62637362637363,4797
90033,42.62637362637363,7462
90034,42.253436115381135,6316
90035,40.045945945945945,814
90036,40.045945945945945,2442
90037,40.21191083516461,27377
90038,38.673561651457824,4289
90039,43.09786476868327,2624
90041,43.09786476868327,2624
90042,43.06356116990348,4592
90043,40.30809778256246,20822
90044,40.25371494801668,40708
90045,42.67053701015965,3930
90046,38.954977311401024,2780
90047,40.29967776584318,24196
90048,40.045945945945945,4070
90056,42.67053701015965,0
90057,41.07692307692308,9707
90058,39.838862559241704,2920
90059,40.10408921933085,5724
90061,40.10408921933085,6996
90062,40.32397386067569,21438
90063,42.62637362637363,2665
90064,42.67053701015965,0
90065,43.09786476868327,3280
90066,42.67053701015965,6288
90068,38.56699346405229,1390
90069,39.27035132819194,0
90071,42.35254237288136,0
90077,41.863703703703706,789
90094,42.67053701015965,0
90230,42.67053701015965,1572
90232,42.67053701015965,0
90247,40.10408921933085,2544
90248,40.674,636
90291,42.67053701015965,11790
90292,42.67053701015965,3144
90293,42.67053701015965,0
90501,41.33766233766234,2228
90710,41.33766233766234,2785
90717,41.33766233766234,557
90731,41.33766233766234,6684
90732,41.33766233766234,557
90744,41.33766233766234,6684
91040,41.85747663551402,4590
91042,41.85747663551402,5610
91214,41.85747663551402,0
91303,42.477031802120145,5823
91304,42.5027043120131,7117
91306,42.554410155395054,7417
91307,42.477031802120145,3882
91311,42.75979124330316,12606
91316,43.1321044546851,6064
91324,42.77563550391291,4242
91325,42.83806660983744,8637
91326,42.77133105802048,2121
91331,41.9920272834041,28140
91335,43.1321044546851,16676
91340,42.09804423510137,675
91342,42.133901714632735,15195
91343,42.4773401248997,12310
91344,42.77133105802048,6363
91345,42.15714285714286,7425
91352,41.86815774733948,20400
91356,43.12723114534318,6822
91364,42.477031802120145,2588
91367,42.477031802120145,2588
91401,41.863703703703706,6312
91402,42.15714285714286,18900
91403,41.958061935778765,9468
91405,41.863703703703706,18147
91406,42.94712716763006,30216
91411,41.863703703703706,7101
91423,41.863703703703706,3156
91436,43.1321044546851,1516
91504,41.85747663551402,0
91505,41.85747663551402,0
91604,41.863703703703706,0
91605,41.8889062304907,7140
91606,41.863703703703706,0
91607,41.863703703703706,0
